,manufacturer
1472,Manufaktura Czekolady
1956,Raphio
2474,Woodblock
1743,Olive and Sinclair
2440,Wellington Chocolate Factory
1440,Madre
1819,Parre Chocolat
21,A. Morin
434,C-Amaro
2411,Vicuna
1801,Palette de Bine
1828,Patric
166,Artisan du Chocolat
1300,Kto
1917,Pump Street Bakery
399,Cacao Market
886,Felchlin
2219,Starchild
789,Dormouse
1995,Rogue
1580,Michel Cluizel
224,Bellflower
264,Bittersweet Origins
2017,S.A.I.D.
1107,Habitual
1621,Mirzam
2055,Seahorse
96,Amedei
2230,Sublime Origins
1487,Map Chocolate
23,A. Morin
1173,Holy Cacao
2058,Seahorse
81,Amatller (Simon Coll)
2400,Vanleer (Barry Callebaut)
1526,Mast Brothers
1834,Petite Patrie
2519,Zotter
1169,Hoja Verde (Tulicorp)
414,Cacao Santa Fe (Art of Chocolate)
1340,La Oroquidea
2148,Soma
1697,Noble Bean aka Jerjobo
1540,Maverick
335,Brasstown aka It's Chocolate
2481,Xocolatl
836,El Rey
1561,Mesocacao
408,Cacao Sampaka
435,C-Amaro
2034,Santome
195,Baiani
458,CAR Artisan
1201,Hotel Chocolat (Coppeneur)
97,Amedei
176,Aruntam
2299,Tejas
2296,Tejas
1029,Fruition
2310,Terroir
2327,Theo
412,Cacao Sampaka
411,Cacao Sampaka
198,Bankston
135,Arete
1477,Map Chocolate
2442,White Label aka Mutari
1847,Pierre Marcolini
1848,Pierre Marcolini
1401,Lonohana
1495,Marigold's Finest
1930,Q Chocolate
520,Chocolarder
925,Foundry
112,AMMA
2294,TCHO
2160,Soma
1660,Nahua
24,A. Morin
467,Carlotta Chocolat
847,Emily's
2213,Spinnaker
1542,Maverick
997,Fresh Coast aka Just Good Choc.
239,Benoit Nihant
2460,Wm
1833,Perrenial
1039,Fu Wan
569,Choklat
835,El Ceibo
2463,Wm
330,Brasstown
1095,Guittard
2242,Sweet Escalier
1428,Madecasse (Cinagra)
2426,Vintage Plantations (Tulicorp)
7,A. Morin
1379,Letterpress
1134,Heirloom Cacao Preservation (Brasstown)
2344,Tree to Bar
1271,Kallari (Ecuatoriana)
204,Bar Au Chocolat
1343,La Rifa
1413,Luker
1176,Holy Cacao
2414,Videri
289,Boho
1011,Friis Holm
2162,Soma
2493,Zak's
1064,Gotham
1791,Palet D'Or
2515,Zotter
1572,Metropolitan
1564,Mesocacao
63,Altus aka Cao Artisan
1330,La Maison du Chocolat (Valrhona)
1962,Republica del Cacao (aka Confecta)
440,Cao
120,Ara
647,Cultura
897,Finnia
2181,Soma
342,Brazen
737,Dick Taylor
518,Chococard (Lapos)
1240,Johnny Iuzzini
316,Bonnat
1301,K'ul
2040,Scharffen Berger
50,Akesson's (Pralus)
1974,Ritual
1383,Levy
1077,Grenada Chocolate Co.
884,Felchlin
1063,Gotham
1097,Guittard
87,Amazona
1551,Meadowlands
539,Chocolate Tree
480,Castronovo
1706,Nuance
410,Cacao Sampaka
646,Crow and Moss
1172,Holy Cacao
1135,Heirloom Cacao Preservation (Fruition)
866,Escazu
2278,Taste Artisan
377,Cacao Barry
291,Bonaterra
767,Domori
593,Claudio Corallo
1313,L.A. Burdick (Felchlin)
1376,Letterpress
1332,La Maison du Chocolat (Valrhona)
1632,Moka Origins
1508,Mars
2372,Upchurch
1677,Neuhaus (Callebaut)
8,A. Morin
1293,Krak
1295,Kto
187,Auro
2012,Ruket
2524,Zotter
524,Chocola'te
590,Claudio Corallo
715,De Mendes
2247,Sweetness
2105,"Smooth Chocolator, The"
380,Cacao Betulia
2086,Sirene
2448,Wilkie's Organic
238,Benoit Nihant
1059,Goodnow Farms
2118,Snake & Butterfly
1782,Pacari
481,Castronovo
1420,Lumineux
1607,Millesime
2431,Violet Sky
1263,Kah Kow - USA
123,Arete
173,Artisan du Chocolat (Casa Luker)
137,Arete
2494,Zart Pralinen
627,Coppeneur
758,Doble & Bignall
1247,Jordis
54,Alain Ducasse
934,Franceschi
22,A. Morin
2119,Soeka
980,Fresco
1310,L.A. Burdick (Felchlin)
1035,Fruition
28,A. Morin
196,Bakau
1325,La Chorena
354,Bronx Grrl Chocolate
153,Argencove
963,Fresco
1141,Heirloom Cacao Preservation (Millcreek)
1666,Naive
1575,Michel Cluizel
654,Dalloway
1001,Friis Holm
1859,Pitch Dark
1797,Palette de Bine
1849,Pierre Marcolini
2439,Wellington Chocolate Factory
675,Dandelion
2067,Shark Mountain
659,Damson
1877,Potomac
1492,Maribea
1116,Hacienda El Castillo
433,C-Amaro
1105,Guittard
1988,Rogue
1641,Momotombo
686,Dandelion
1775,Orquidea
1088,Guittard
290,Bonaterra
1019,Friis Holm (Bonnat)
1916,Pump Street Bakery
297,Bonnat
751,Dick Taylor
632,Cote d' Or (Kraft)
43,Aelan
1805,Palette de Bine
1410,Luisa Abram
457,CAR Artisan
981,Fresco
894,Finnia
287,Blue Bandana
